"","area","heat"
"340","010545489055","295.243019817452"
"341","010545489062","355.478927153696"
"342","010545489065","308.441864097322"
"343","010545489068","299.017058224367"
"344","010545489073","309.688625064424"
"345","010545489076","317.442274078595"
"347","010545489086","303.994723606197"
"348","010545489088","321.095337859499"
"349","010545489109","298.655340765519"
"350","010545489110","313.049964161002"
"351","010545489124","323.846848221949"
"352","010545489125","320.186172933195"
"353","010545489126","333.975424650719"
"354","010545489131","305.088168513399"
"356","010545489142","323.345714226054"
"357","010545489154","314.521258900657"
"358","010545489165","329.189528913891"
"359","010545489166","310.466288240267"
"360","010545489167","313.04749392067"
"361","010545492007","342.917320508604"
"362","010545492023","292.600266798267"
"365","010545492042","304.446696408774"
"366","010545492043","284.552534916186"
"367","010545492052","307.597287068884"
"369","010545492070","315.487310742282"
"370","010545492084","310.400136693822"
"371","010545492091","317.12044550683"
"372","010545492096","324.946012363586"
"373","010545492097","307.81947421813"
"374","010545492099","308.823843777027"
"375","010545492105","293.295186976169"
"376","010545492106","298.393287310479"
"377","010545492116","307.950741243114"
"378","010545492119","344.533913851742"
"379","010545492120","320.627352920524"
"381","010545492132","303.958998048064"
"382","010545492141","301.372229162821"
"383","010545492156","301.373918432813"
"385","010545492159","319.180881726484"
"386","010545492161","323.080872071393"
"387","010545492162","321.683526469262"
"388","010545494002","295.213478661846"
"389","010545494006","334.401410805905"
"390","010545494010","295.569541835813"
"391","010545494012","317.41923987912"
"392","010545494014","299.735106041312"
"393","010545494019","317.63600625671"
"394","010545494020","299.01211862033"
"395","010545494024","311.240520830679"
"396","010545494037","288.595328803834"
"397","010545494038","324.959096216402"
"398","010545494045","326.367472322488"
"399","010545494059","293.78226075717"
"401","010545494075","301.249222820035"
"402","010545494080","306.017321591989"
"403","010545494093","337.21526595859"
"404","010545494121","318.699755717519"
"405","010545494128","321.9294780896"
"406","010545494146","297.843172421379"
"407","010550001001","310.774035617402"
"408","010550004004","312.719523542852"
"409","010550007007","309.932024556904"
"410","010550010010","321.159843303806"
"411","010550012012","311.538961488743"
"412","010550016016","319.232561671043"
"413","010550018018","318.263403318437"
"414","010550021021","315.771018719308"
"415","010550025025","321.825482631517"
"416","010550028028","319.116656143268"
"417","010550032032","316.58015147922"
"418","010550033033","313.091179996888"
"419","010550033033","313.091179996888"
"420","010550033033","313.091179996888"
"421","010550033033","313.091179996888"
"422","010550033033","313.091179996888"
"423","010550033033","313.091179996888"
"424","010550033033","313.091179996888"
"425","010550033033","313.091179996888"
"426","010550035035","309.044657080171"
"427","010550040040","310.341995030622"
"428","010550041041","310.346916640733"
"429","010550042042","318.841273889664"
"430","010550044044","310.938496391085"
"431","010550046046","313.640073295231"
"432","010555543014","310.029480031449"
"433","010555543015","316.246951375925"
"434","010555543017","312.058016375415"
"435","010555543022","309.102757232401"
"436","010555543031","307.846408645328"
"437","010555543043","323.53220175207"
"438","010555546006","280.541404803422"
"439","010555546011","300.000516787694"
"440","010555546020","321.727370036842"
"441","010555546023","315.978420011019"
"442","010555546027","312.227740682001"
"443","010555546029","306.777488747145"
"444","010555546036","319.623509091931"
"445","010555591002","327.643475298933"
"446","010555591024","326.434422039501"
"447","010555591037","313.496192933228"
"448","010555591038","313.152087110098"
"449","010555591039","337.642975930247"
"450","010560002002","316.564008558511"
"451","010560015015","316.699246231941"
"452","010560018018","309.013083671112"
"453","010560025025","312.557109343936"
"454","010560039039","316.161336287243"
"455","010560041041","310.557032766023"
"456","010560043043","309.280547280435"
"457","010560044044","315.0918352255"
"458","010560048048","309.470714188139"
"459","010560049049","316.339475923752"
"460","010560050050","316.303213406508"
"461","010565616029","309.109587255966"
"462","010565616030","309.328472766888"
"463","010565616031","304.735110556585"
"464","010565616033","307.885246827342"
"465","010565616042","297.54468828535"
"466","010565616045","308.942859389577"
"467","010565616046","308.542421414187"
"468","010565628019","326.9080843221"
"469","010565628020","307.601716659763"
"470","010565628027","309.575229112616"
"471","010565636006","321.376013937978"
"472","010565636010","308.311051075641"
"473","010565636038","342.694827330826"
"474","010565636051","306.741352109517"
"475","010565642001","305.592403619187"
"476","010565642016","319.136941540944"
"477","010565642023","304.250151259468"
"478","010565642024","305.038573617398"
"479","010565642028","312.884801566351"
"480","010565642036","304.883231594501"
"481","010565642037","294.689035128596"
"482","010565660003","307.577406535641"
"483","010565660004","313.808085473402"
"484","010565660008","304.32627335654"
"485","010565660011","366.417879972327"
"486","010565660014","310.26117273003"
"487","010565660017","303.913247304236"
"488","010565660022","307.140918705818"
"489","010565660026","309.407144278127"
"490","010565660034","308.418899248633"
"491","010565660035","292.935281543958"
"492","010565687005","309.661304239719"
"493","010565687009","310.751960767868"
"494","010565687013","312.887264846616"
"495","010565687021","305.855295491153"
"496","010565687032","306.835886782231"
"497","010565687040","313.764678807608"
"498","010565687047","308.677604219798"
"499","010570008008","310.744608083891"
"500","010570057057","316.015362554412"
"501","010570062062","310.962153110943"
"502","010570091091","307.813884937199"
"503","010575727004","303.744518844962"
"504","010575727007","321.151089956047"
"505","010575727013","308.893639800147"
"506","010575727021","326.813005120312"
"507","010575727026","320.829694991513"
"508","010575727027","320.60584903849"
"509","010575727029","317.463326242639"
"510","010575727030","319.01331500093"
"511","010575727034","287.014741375909"
"512","010575727035","300.045520338737"
"514","010575727048","326.900922226551"
"515","010575727055","309.353684672225"
"516","010575727076","311.19422713567"
"517","010575727082","312.75790532625"
"518","010575739001","324.063087377479"
"519","010575739009","320.74571931401"
"520","010575739015","329.545257214166"
"521","010575739017","321.090802742562"
"522","010575739022","314.738707059239"
"523","010575739032","318.42326511273"
"524","010575739045","320.721561999356"
"525","010575739045","320.721561999356"
"526","010575739045","320.721561999356"
"527","010575739045","320.721561999356"
"528","010575739045","320.721561999356"
"529","010575739045","320.721561999356"
"530","010575739045","320.721561999356"
"531","010575739045","320.721561999356"
"532","010575739053","302.104513019271"
"533","010575739065","311.049234517065"
"534","010575739067","314.860360320802"
"537","010575747010","288.226574786685"
"538","010575747011","352.04907612051"
"539","010575747023","297.436150469019"
"540","010575747031","338.56990397935"
"541","010575747033","315.698742456563"
"542","010575747037","299.349947693134"
"543","010575747042","310.17213701666"
"544","010575747046","307.111934444156"
"545","010575747047","323.747370414427"
"546","010575747054","321.444491707017"
"547","010575747058","326.710709073823"
"548","010575747059","302.172836075074"
"549","010575747066","313.495318651299"
"550","010575747070","303.897377319681"
"551","010575747084","317.913980324867"
"552","010575747086","328.175267555471"
"553","010575755003","303.685880279056"
"554","010575755006","341.076471614321"
"555","010575755012","308.3609805586"
"557","010575755020","300.622803331005"
"558","010575755028","346.179196178281"
"559","010575755039","306.738926408281"
"560","010575755040","314.279234348472"
"561","010575755041","326.999754243416"
"562","010575755043","311.248728111423"
"563","010575755049","325.633094753302"
"564","010575755056","293.915931289365"
"565","010575755060","301.396738532494"
"566","010575755063","305.380684206846"
"567","010575755073","320.296720221954"
"568","010575755078","313.937068829636"
"569","010575755079","316.402644397383"
"570","010575755081","303.600572453899"
"571","010575755087","296.508602682207"
"572","010575755088","312.80886969913"
"573","010575775016","313.119791871504"
"574","010575775044","302.522185420268"
"575","010575775050","318.241389567408"
"576","010575775052","312.274481406661"
"577","010575775072","300.864878615995"
"578","010575775077","321.079618261092"
"579","010575775090","311.715086386498"
"580","010575782025","312.62963159482"
"581","010575782051","312.562141881062"
"582","010575782074","303.406472611113"
"583","010575785005","321.641464357232"
"584","010575785024","319.223645966589"
"585","010575785068","308.407845598313"
"586","010575785069","322.206704910654"
"587","010575785071","300.215329926233"
"588","010575785080","304.417660264363"
"589","010575785083","317.793728325436"
"590","010575785085","323.234138397321"
"591","010580005005","314.371939287443"
"592","010580034034","315.607374221859"
"593","010580043043","315.374208884839"
"594","010580077077","316.669314639254"
"595","010580092092","314.743804631859"
"596","010580135135","324.625450359343"
"597","010580169169","316.388363553205"
"598","010585803001","306.314556411346"
"599","010585803028","318.364724980511"
"600","010585803050","322.64947993405"
"601","010585803093","315.068078079247"
"602","010585803104","325.289996429078"
"603","010585803126","315.687874194286"
"604","010585803130","315.456874474989"
"605","010585803171","324.452212802625"
"606","010585808007","318.832816962957"
"607","010585808009","310.60602267799"
"608","010585808044","329.176750237347"
"609","010585808128","319.875098818483"
"610","010585822037","297.425738263162"
"611","010585822116","325.028765568825"
"612","010585822150","312.565441086272"
"613","010585822157","317.452859546895"
"614","010585824051","311.181386676007"
"615","010585824058","312.718853608848"
"616","010585824096","306.375404184338"
"617","010585824110","308.63409849965"
"618","010585824112","321.42645131966"
"619","010585824121","320.050610443786"
"620","010585824142","333.957433968285"
"621","010585824165","309.771063727509"
"623","010585830053","306.862810718909"
"624","010585830145","278.950450404467"
"626","010585833003","321.336775607762"
"627","010585833054","313.912289844738"
"628","010585833118","305.869422094559"
"629","010585833136","299.738224679731"
"638","010585839014","312.839993431425"
"640","010585839061","335.70628764373"
"641","010585839072","313.652437478519"
"642","010585839100","309.19480619918"
"643","010585839119","327.659805878076"
"644","010585839151","282.386714270385"
"645","010585839156","310.540167697973"
"648","010585844015","309.251946503865"
"649","010585844062","310.676476971328"
"650","010585844074","322.625567083172"
